NoAgresivo;'venga vamos a brindar como cuando nos trajeron las pizzas a la academia vamos a brindar por haber tenido la maravillosa oportunidad de haber podido vivir una maravillosa experiencia con personas maravillosas'
Agresivo;'agarre el guante del novio tonta hueona A128'
Agresivo;'Con razon aparecio esta Rata de la Orsini defendiendo a Salamanca en el Mentiras Verdaderas'
NoAgresivo;'Consideraciones tacticas y estrategicas Dice Boric  Habla como todo un estratega Pero no le funciona'
NoAgresivo;'Hasta cuando a este punga comunacho con corte de pelo de sicario se le permite hacer lo que quiera  '
NoAgresivo;'Muy mal Boric y Orsini Aun no toman el peso de estar en politica representando una nueva forma de hacer las cosas'
Agresivo;'Orsini cayo en la trampa d boric jaja una pendeja q no le ha ganado a nadie'
Agresivo;'paty maldonado vieja culia flaite y raquel argandona maraca con mala memoria'
Agresivo;'Que bueno entonces habra que dar dos grandes PLR  '
NoAgresivo;'Que gran actriz de raza que mujer mas elegante que maravillosa companera que remembers que de risas y buenos momentos hemos vivido(Todo lo que quiero contar de ti me sabe a poco)'
NoAgresivo;'Una mujer maravillosa integra y luchadora Hoy me alegra que el pais pida '
Agresivo;'Al igual que Bachelet me hice poderoso sin hacer nada'
NoAgresivo;'Alfredo me dijo que en Latinoamerica las chilenas y argentinas son las mas lindas  Justin'
NoAgresivo;'amamos a las chilenas chexico es real las chilenas son muy lindas '
Agresivo;'BAJA EL CARTEL MARACA CULIA JIRAFA Y LA RECONCHETUMARE SALE QUE NO VEO asi vamos a estar obvio'
Agresivo;'chilenos acepten que juegan mal eh TE VAI EN PURA FALAZIA MARACA CULIA SOMOS LA LEY QUE WEA'
Agresivo;'con* buscadora de atencion mereces ser violada Nosotros los fans internacionales odiamos tu asquerosa voz nasal Para de actuar linda perra te ves horrible'
NoAgresivo;'Donde hay un hombre como el atractivo de buena familia rodeado de mujeres bellas y donde hay una mujer como yoes una historia de dolor'
NoAgresivo;'Es un angel Ha sido una maravillosa historia de amor y de altruismo Esta mujer ha sido un hada para nosotros La compramos muy barata por cierto en un paquete '
NoAgresivo;'Escoge a una mujer de la cual puedas decir hubiera podido escogerla mas bella pero no mejor'
Agresivo;'Ese va a ser el sello de mi Gobierno dejar una democracia mas transparente etica y legitima — Presidenta Bachelet'
NoAgresivo;'Hay dos cosas infinitas El universo y el ahueonaje de los que votaron por Bachelet Y de la primera no estoy seguro Einstein'
Agresivo;'Indigena zorraguarra moro por gente como tu dormi en la carcel chusmaesquizofrenicabipolar loca de mierda persona tan baja mamarrachaasquerosasucia prostituta mujer de compania verguenza para tu raza'
NoAgresivo;'La ciencia me reconoce como mujer pues por mi parte tambien la reconozco como mujer luchadora y hermosa le deseo una gran participacion en el certamen y ojala se lo gane'
Agresivo;'las chilenas son ordinarias QUE HUEA CTM COMO QUE ORDINARIAS MARACA CULIA DIMELO A LA CARA PO PERRA CULIA '
Agresivo;'ME CAGASTE LA VIDA PERRA CONCHETUMADRE  Que pena tu vida '
NoAgresivo;'Michelle Bachelet prepara hasta un video para su dificil visita a la zona costera del Bio Bio httprbbcl/4x5g  estamos esperando'
NoAgresivo;'Mujer si tu belleza la determina tu cuerpo pronto dejaras de ser bella pero si tu enfoque esta en el temor a Dios amarlo a El entonces lo seras para siempre seras digna de alabanza'
NoAgresivo;'Oie perra donde quieres que te rasque JAJAJAJAJAJAJAJA'
Agresivo;'Para este Chile la putamaracachanchaculia es ella y san se acabo '
NoAgresivo;'Por el simple hecho de ser mujer no se tiene esa conciencia de genero sino que se adquiere en un proceso que es una maquinaria que cuando la activas ya no para nunca'
Agresivo;'Porque yo le dije vo me robai alguna wea maraca culia te boto los tres dientes q te quedan '
Agresivo;'que se creen las chilenas insultando a Australia QUE TE CREI VO HUEONA MARACA ANDA ACOSTARTE PENDEJA CULIA'
NoAgresivo;'Se que no eres facil creo que eres una mocosa pero se que eres la mujer mas increible asombrosa y maravillosa del mundo'
NoAgresivo;'Te amo me decia la perra que a espaldas me hacia la guerra jajajjaja'
Agresivo;'TE ODIO PUTA CULIA ME CAGASTE LA VIDA CONCHETUMADRE TE ODIO MARACA DE MIERDA PUTA CULIA TE ODIO'
Agresivo;'TE PILLO EN LA CALLE Y TE TIRO UNA PIEDRA MARACA CULIA VO SOY AWEONA O KE TE VOY A SACAR LA CHUCHA RESPETA MARACA CULIA ENFERMA BASTARDA '
Agresivo;'Tendre vigilado a Bolsonaro dijo Bachelet A Maduro nadie le hizo esa advertencia y vaya que ha cometido tantos crimenes y violaciones a los derechos humanos Son cositas'
NoAgresivo;'UDI solicita a Bachelet pronunciarse por entrega de asilo no es una materia propia del Alto Comisionado para los Derechos Humanos sino del Alto Comisionado para los Refugiados Erro el tiro la UDI o es puro afan politico de molestar a Bachelet'
Agresivo;'Cadem El 71% no le cree a Bachelet El otro 29% son weones que constituyen su gabinete'
NoAgresivo;'opinoenhora20 si bachelet sale y reconoce q se equivoco en actuar con el corazon pide disculpa las madres entenderiamos Puede revertir'
Agresivo;'PayaHop Gracias a la poblacion la bachelet esta en la cima pero dejame decirte hermano q la enora es una p mal nacida Eh Yo tb puedo'
